origin,destination,dayhour,halfhour,value
Metro_AlAziziyah,Metro_AlBiddaConcourse,0,0,4
Metro_AlAziziyah,Metro_AlBiddaConcourse,0,1,6
Metro_AlAziziyah,Metro_AlBiddaConcourse,1,2,11
Metro_AlAziziyah,Metro_AlBiddaConcourse,1,3,17
Metro_AlAziziyah,Metro_AlBiddaConcourse,2,4,3
Metro_AlAziziyah,Metro_AlBiddaConcourse,6,12,1
Metro_AlAziziyah,Metro_AlBiddaConcourse,7,14,3
Metro_AlAziziyah,Metro_AlBiddaConcourse,7,15,3
Metro_AlAziziyah,Metro_AlBiddaConcourse,8,16,3
Metro_AlAziziyah,Metro_AlBiddaConcourse,8,17,19
Metro_AlAziziyah,Metro_AlBiddaConcourse,9,18,27
Metro_AlAziziyah,Metro_AlBiddaConcourse,9,19,34
Metro_AlAziziyah,Metro_AlBiddaConcourse,10,20,76
Metro_AlAziziyah,Metro_AlBiddaConcourse,10,21,66
Metro_AlAziziyah,Metro_AlBiddaConcourse,11,22,95
Metro_AlAziziyah,Metro_AlBiddaConcourse,11,23,117
Metro_AlAziziyah,Metro_AlBiddaConcourse,12,24,104
Metro_AlAziziyah,Metro_AlBiddaConcourse,12,25,154
Metro_AlAziziyah,Metro_AlBiddaConcourse,13,26,129
Metro_AlAziziyah,Metro_AlBiddaConcourse,13,27,157
Metro_AlAziziyah,Metro_AlBiddaConcourse,14,28,88
Metro_AlAziziyah,Metro_AlBiddaConcourse,14,29,140
Metro_AlAziziyah,Metro_AlBiddaConcourse,15,30,93
Metro_AlAziziyah,Metro_AlBiddaConcourse,15,31,56
Metro_AlAziziyah,Metro_AlBiddaConcourse,16,32,39
Metro_AlAziziyah,Metro_AlBiddaConcourse,16,33,31
Metro_AlAziziyah,Metro_AlBiddaConcourse,17,34,21
Metro_AlAziziyah,Metro_AlBiddaConcourse,17,35,15
Metro_AlAziziyah,Metro_AlBiddaConcourse,18,36,18
Metro_AlAziziyah,Metro_AlBiddaConcourse,18,37,12
Metro_AlAziziyah,Metro_AlBiddaConcourse,19,38,9
Metro_AlAziziyah,Metro_AlBiddaConcourse,19,39,5
Metro_AlAziziyah,Metro_AlBiddaConcourse,20,40,2
Metro_AlAziziyah,Metro_AlBiddaConcourse,20,41,9
Metro_AlAziziyah,Metro_AlBiddaConcourse,21,42,10
Metro_AlAziziyah,Metro_AlBiddaConcourse,21,43,5
Metro_AlAziziyah,Metro_AlBiddaConcourse,22,44,13
Metro_AlAziziyah,Metro_AlBiddaConcourse,22,45,1
Metro_AlAziziyah,Metro_AlBiddaConcourse,23,46,5
Metro_AlAziziyah,Metro_AlBiddaRedPlatformNorthBound,22,45,33
Metro_AlAziziyah,Metro_AlBiddaRedPlatformNorthBound,23,46,30
Metro_AlAziziyah,Metro_AlBiddaRedPlatformNorthBound,23,47,3
Metro_AlAziziyah,Metro_AlDohaAlJadeda,0,0,19
Metro_AlAziziyah,Metro_AlDohaAlJadeda,0,1,25
Metro_AlAziziyah,Metro_AlDohaAlJadeda,1,2,43
Metro_AlAziziyah,Metro_AlDohaAlJadeda,1,3,27
Metro_AlAziziyah,Metro_AlDohaAlJadeda,2,4,19
Metro_AlAziziyah,Metro_AlDohaAlJadeda,2,5,14
Metro_AlAziziyah,Metro_AlDohaAlJadeda,3,6,5
Metro_AlAziziyah,Metro_AlDohaAlJadeda,3,7,7
Metro_AlAziziyah,Metro_AlDohaAlJadeda,6,13,13
Metro_AlAziziyah,Metro_AlDohaAlJadeda,7,14,6
Metro_AlAziziyah,Metro_AlDohaAlJadeda,7,15,6
Metro_AlAziziyah,Metro_AlDohaAlJadeda,8,16,12
Metro_AlAziziyah,Metro_AlDohaAlJadeda,8,17,10
Metro_AlAziziyah,Metro_AlDohaAlJadeda,9,18,25
Metro_AlAziziyah,Metro_AlDohaAlJadeda,9,19,35
Metro_AlAziziyah,Metro_AlDohaAlJadeda,10,20,68
Metro_AlAziziyah,Metro_AlDohaAlJadeda,10,21,87
Metro_AlAziziyah,Metro_AlDohaAlJadeda,11,22,141
Metro_AlAziziyah,Metro_AlDohaAlJadeda,11,23,141
Metro_AlAziziyah,Metro_AlDohaAlJadeda,12,24,82
Metro_AlAziziyah,Metro_AlDohaAlJadeda,12,25,98
Metro_AlAziziyah,Metro_AlDohaAlJadeda,13,26,91
Metro_AlAziziyah,Metro_AlDohaAlJadeda,13,27,89
Metro_AlAziziyah,Metro_AlDohaAlJadeda,14,28,67
