origin,destination,dayhour,halfhour,quarterhour,value
Metro_AlAziziyah,Metro_AlBiddaConcourse,0,0,0,4
Metro_AlAziziyah,Metro_AlBiddaConcourse,0,1,2,2
Metro_AlAziziyah,Metro_AlBiddaConcourse,0,1,3,4
Metro_AlAziziyah,Metro_AlBiddaConcourse,1,2,4,9
Metro_AlAziziyah,Metro_AlBiddaConcourse,1,2,5,2
Metro_AlAziziyah,Metro_AlBiddaConcourse,1,3,6,10
Metro_AlAziziyah,Metro_AlBiddaConcourse,1,3,7,7
Metro_AlAziziyah,Metro_AlBiddaConcourse,2,4,8,2
Metro_AlAziziyah,Metro_AlBiddaConcourse,2,4,9,1
Metro_AlAziziyah,Metro_AlBiddaConcourse,6,12,25,1
Metro_AlAziziyah,Metro_AlBiddaConcourse,7,14,28,1
Metro_AlAziziyah,Metro_AlBiddaConcourse,7,14,29,2
Metro_AlAziziyah,Metro_AlBiddaConcourse,7,15,30,2
Metro_AlAziziyah,Metro_AlBiddaConcourse,7,15,31,1
Metro_AlAziziyah,Metro_AlBiddaConcourse,8,16,32,1
Metro_AlAziziyah,Metro_AlBiddaConcourse,8,16,33,2
Metro_AlAziziyah,Metro_AlBiddaConcourse,8,17,34,1
Metro_AlAziziyah,Metro_AlBiddaConcourse,8,17,35,18
Metro_AlAziziyah,Metro_AlBiddaConcourse,9,18,36,7
Metro_AlAziziyah,Metro_AlBiddaConcourse,9,18,37,20
Metro_AlAziziyah,Metro_AlBiddaConcourse,9,19,38,11
Metro_AlAziziyah,Metro_AlBiddaConcourse,9,19,39,23
Metro_AlAziziyah,Metro_AlBiddaConcourse,10,20,40,35
Metro_AlAziziyah,Metro_AlBiddaConcourse,10,20,41,41
Metro_AlAziziyah,Metro_AlBiddaConcourse,10,21,42,20
Metro_AlAziziyah,Metro_AlBiddaConcourse,10,21,43,46
Metro_AlAziziyah,Metro_AlBiddaConcourse,11,22,44,52
Metro_AlAziziyah,Metro_AlBiddaConcourse,11,22,45,43
Metro_AlAziziyah,Metro_AlBiddaConcourse,11,23,46,48
Metro_AlAziziyah,Metro_AlBiddaConcourse,11,23,47,69
Metro_AlAziziyah,Metro_AlBiddaConcourse,12,24,48,43
Metro_AlAziziyah,Metro_AlBiddaConcourse,12,24,49,61
Metro_AlAziziyah,Metro_AlBiddaConcourse,12,25,50,67
Metro_AlAziziyah,Metro_AlBiddaConcourse,12,25,51,87
Metro_AlAziziyah,Metro_AlBiddaConcourse,13,26,52,55
Metro_AlAziziyah,Metro_AlBiddaConcourse,13,26,53,74
Metro_AlAziziyah,Metro_AlBiddaConcourse,13,27,54,86
Metro_AlAziziyah,Metro_AlBiddaConcourse,13,27,55,71
Metro_AlAziziyah,Metro_AlBiddaConcourse,14,28,56,37
Metro_AlAziziyah,Metro_AlBiddaConcourse,14,28,57,51
Metro_AlAziziyah,Metro_AlBiddaConcourse,14,29,58,76
Metro_AlAziziyah,Metro_AlBiddaConcourse,14,29,59,64
Metro_AlAziziyah,Metro_AlBiddaConcourse,15,30,60,43
Metro_AlAziziyah,Metro_AlBiddaConcourse,15,30,61,50
Metro_AlAziziyah,Metro_AlBiddaConcourse,15,31,62,26
Metro_AlAziziyah,Metro_AlBiddaConcourse,15,31,63,30
Metro_AlAziziyah,Metro_AlBiddaConcourse,16,32,64,16
Metro_AlAziziyah,Metro_AlBiddaConcourse,16,32,65,23
Metro_AlAziziyah,Metro_AlBiddaConcourse,16,33,66,15
Metro_AlAziziyah,Metro_AlBiddaConcourse,16,33,67,16
Metro_AlAziziyah,Metro_AlBiddaConcourse,17,34,68,13
Metro_AlAziziyah,Metro_AlBiddaConcourse,17,34,69,8
Metro_AlAziziyah,Metro_AlBiddaConcourse,17,35,70,10
Metro_AlAziziyah,Metro_AlBiddaConcourse,17,35,71,5
Metro_AlAziziyah,Metro_AlBiddaConcourse,18,36,72,5
Metro_AlAziziyah,Metro_AlBiddaConcourse,18,36,73,13
Metro_AlAziziyah,Metro_AlBiddaConcourse,18,37,75,12
Metro_AlAziziyah,Metro_AlBiddaConcourse,19,38,76,3
Metro_AlAziziyah,Metro_AlBiddaConcourse,19,38,77,6
Metro_AlAziziyah,Metro_AlBiddaConcourse,19,39,78,3
Metro_AlAziziyah,Metro_AlBiddaConcourse,19,39,79,2
Metro_AlAziziyah,Metro_AlBiddaConcourse,20,40,80,2
Metro_AlAziziyah,Metro_AlBiddaConcourse,20,41,82,7
Metro_AlAziziyah,Metro_AlBiddaConcourse,20,41,83,2
Metro_AlAziziyah,Metro_AlBiddaConcourse,21,42,84,4
Metro_AlAziziyah,Metro_AlBiddaConcourse,21,42,85,6
Metro_AlAziziyah,Metro_AlBiddaConcourse,21,43,86,4
Metro_AlAziziyah,Metro_AlBiddaConcourse,21,43,87,1
Metro_AlAziziyah,Metro_AlBiddaConcourse,22,44,88,1
Metro_AlAziziyah,Metro_AlBiddaConcourse,22,44,89,12
Metro_AlAziziyah,Metro_AlBiddaConcourse,22,45,90,1
Metro_AlAziziyah,Metro_AlBiddaConcourse,23,46,92,2
Metro_AlAziziyah,Metro_AlBiddaConcourse,23,46,93,3
Metro_AlAziziyah,Metro_AlBiddaRedPlatformNorthBound,22,45,91,33
Metro_AlAziziyah,Metro_AlBiddaRedPlatformNorthBound,23,46,92,16
Metro_AlAziziyah,Metro_AlBiddaRedPlatformNorthBound,23,46,93,14
Metro_AlAziziyah,Metro_AlBiddaRedPlatformNorthBound,23,47,94,3
Metro_AlAziziyah,Metro_AlDohaAlJadeda,0,0,0,1
Metro_AlAziziyah,Metro_AlDohaAlJadeda,0,0,1,18
Metro_AlAziziyah,Metro_AlDohaAlJadeda,0,1,2,19
Metro_AlAziziyah,Metro_AlDohaAlJadeda,0,1,3,6
Metro_AlAziziyah,Metro_AlDohaAlJadeda,1,2,4,16
Metro_AlAziziyah,Metro_AlDohaAlJadeda,1,2,5,27
Metro_AlAziziyah,Metro_AlDohaAlJadeda,1,3,6,14
Metro_AlAziziyah,Metro_AlDohaAlJadeda,1,3,7,13
Metro_AlAziziyah,Metro_AlDohaAlJadeda,2,4,8,9
Metro_AlAziziyah,Metro_AlDohaAlJadeda,2,4,9,10
Metro_AlAziziyah,Metro_AlDohaAlJadeda,2,5,10,12
Metro_AlAziziyah,Metro_AlDohaAlJadeda,2,5,11,2
Metro_AlAziziyah,Metro_AlDohaAlJadeda,3,6,12,1
Metro_AlAziziyah,Metro_AlDohaAlJadeda,3,6,13,4
Metro_AlAziziyah,Metro_AlDohaAlJadeda,3,7,14,5
Metro_AlAziziyah,Metro_AlDohaAlJadeda,3,7,15,2
Metro_AlAziziyah,Metro_AlDohaAlJadeda,6,13,26,8
Metro_AlAziziyah,Metro_AlDohaAlJadeda,6,13,27,5
Metro_AlAziziyah,Metro_AlDohaAlJadeda,7,14,28,2
Metro_AlAziziyah,Metro_AlDohaAlJadeda,7,14,29,4
Metro_AlAziziyah,Metro_AlDohaAlJadeda,7,15,30,6
Metro_AlAziziyah,Metro_AlDohaAlJadeda,8,16,32,2
Metro_AlAziziyah,Metro_AlDohaAlJadeda,8,16,33,10
Metro_AlAziziyah,Metro_AlDohaAlJadeda,8,17,34,4
Metro_AlAziziyah,Metro_AlDohaAlJadeda,8,17,35,6
Metro_AlAziziyah,Metro_AlDohaAlJadeda,9,18,36,13
Metro_AlAziziyah,Metro_AlDohaAlJadeda,9,18,37,12
Metro_AlAziziyah,Metro_AlDohaAlJadeda,9,19,38,16
Metro_AlAziziyah,Metro_AlDohaAlJadeda,9,19,39,19
Metro_AlAziziyah,Metro_AlDohaAlJadeda,10,20,40,29
Metro_AlAziziyah,Metro_AlDohaAlJadeda,10,20,41,39
Metro_AlAziziyah,Metro_AlDohaAlJadeda,10,21,42,40
Metro_AlAziziyah,Metro_AlDohaAlJadeda,10,21,43,47
Metro_AlAziziyah,Metro_AlDohaAlJadeda,11,22,44,67
Metro_AlAziziyah,Metro_AlDohaAlJadeda,11,22,45,74
Metro_AlAziziyah,Metro_AlDohaAlJadeda,11,23,46,85
Metro_AlAziziyah,Metro_AlDohaAlJadeda,11,23,47,56
